idx,name,mape mean,mae mean,R2 mean
140,relu_512_areg_mare_GN0.1_lr0.001,4.153,5.100,0.975
132,relu_512_areg_mare_GN0.05_lr0.001,4.488,5.500,0.972
124,relu_512_areg_mare_GN0.01_lr0.001,4.513,5.484,0.971
137,relu_512_kareg_mare_GN0.1_lr0.001,4.562,4.944,0.970
129,relu_512_kareg_mare_GN0.05_lr0.001,4.937,5.080,0.967
116,relu_512_areg_mare_GN0.005_lr0.001,4.998,5.501,0.964
138,relu_512_mare_GN0.1_lr0.001,5.229,5.348,0.964
109,relu_256_areg_mare_GN0.1_lr0.001,5.697,7.416,0.963
113,relu_512_kareg_mare_GN0.005_lr0.001,5.774,5.350,0.963
121,relu_512_kareg_mare_GN0.01_lr0.001,5.033,5.083,0.963
131,relu_512_kreg_mare_GN0.05_lr0.001,5.349,5.383,0.962
103,relu_256_areg_mare_GN0.05_lr0.001,5.792,7.672,0.961
107,relu_256_kareg_mare_GN0.1_lr0.001,5.791,7.060,0.961
139,relu_512_kreg_mare_GN0.1_lr0.001,5.498,5.254,0.961
130,relu_512_mare_GN0.05_lr0.001,5.436,5.184,0.960
55,relu_256_areg_GN0.5_lr0.001,8.840,7.660,0.960
136,relu_512_areg_mare_GN0.05_lr0.0001,5.795,5.271,0.959
63,relu_256_areg_GN0.5_lr0.0005,9.308,7.404,0.958
39,relu_256_areg_GN0.05_lr0.0005,9.182,8.194,0.956
31,relu_256_areg_GN0.05_lr0.001,8.985,8.387,0.954
